epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
144,8634.6123046875,0.001,4851.61376953125,70081.9921875,66300.2578125
145,7866.2939453125,0.001,4092.228515625,68772.6640625,65006.140625
146,8011.9482421875,0.001,4253.451171875,69818.6015625,66068.5859375
147,8056.5537109375,0.001,4313.775390625,71502.46875,67763.578125
148,7527.8251953125,0.001,3794.4833984375,69811.3984375,66081.8828125
149,7816.85791015625,0.001,4092.833984375,67536.15625,63817.15625
150,8098.09228515625,0.001,4380.8154296875,68655.6015625,64937.51171875
151,7908.052734375,0.001,4193.89697265625,69489.6875,65777.28125
152,8318.685546875,0.001,4608.4423828125,69388.203125,65679.0
153,7740.8330078125,0.001,4036.1689453125,67036.2109375,63335.98828125
154,7507.06201171875,0.001,3813.686279296875,73061.921875,69376.4453125
155,7379.744140625,0.001,3700.692138671875,70345.1875,66670.921875
156,7756.48291015625,0.001,4085.396240234375,69424.8203125,65754.4765625
157,7821.650390625,0.001,4158.13671875,74050.203125,70391.21875
158,8071.82568359375,0.001,4409.169921875,67369.75,63706.2890625
159,7484.6044921875,0.001,3828.847900390625,67572.90625,63922.6484375
160,6968.16796875,0.001,3327.47509765625,67943.953125,64312.62109375
161,7291.63818359375,0.001,3666.214599609375,71498.296875,67877.7578125
162,7128.58642578125,0.001,3517.345703125,69961.796875,66361.6953125
163,7092.97265625,0.001,3498.525634765625,68814.4375,65226.19140625
164,7360.17626953125,0.001,3776.858642578125,71547.734375,67970.2578125
165,7378.41259765625,0.001,3803.51708984375,68982.515625,65406.43359375
166,7366.18115234375,0.001,3795.306640625,72233.953125,68666.15625
167,7455.88916015625,0.001,3890.6181640625,70734.1875,67165.6640625
168,7481.75146484375,0.001,3911.1142578125,67704.4140625,64136.75
169,7110.84375,0.001,3548.900390625,69682.171875,66126.28125
170,7166.39306640625,0.001,3617.296142578125,69586.2265625,66041.671875
171,6983.45751953125,0.001,3448.03759765625,67901.2734375,64370.609375
172,6905.37646484375,0.001,3383.3779296875,74431.6015625,70920.234375
173,7444.4892578125,0.001,3933.728759765625,70283.09375,66765.328125
174,6893.5068359375,0.001,3380.052490234375,70795.828125,67288.3359375
175,6894.06298828125,0.001,3396.466796875,71664.6484375,68172.1875
176,6512.76611328125,0.001,3028.72900390625,71636.234375,68160.4921875
177,6825.44140625,0.001,3354.094970703125,69820.90625,66356.171875
178,6760.29638671875,0.001,3304.45654296875,69702.4296875,66255.328125
179,7011.49609375,0.001,3568.660888671875,72522.078125,69080.3125
180,6617.01123046875,0.001,3178.146484375,75765.9296875,72330.9375
181,6833.22802734375,0.001,3404.278076171875,70420.7109375,66998.1015625
182,6806.3720703125,0.001,3387.388427734375,75093.390625,71677.7578125
183,7142.0087890625,0.001,3717.5458984375,73036.1171875,69610.171875
184,6552.6875,0.001,3136.00537109375,73191.15625,69783.0625
185,6363.103515625,0.001,2962.95947265625,76162.1484375,72767.609375
186,6496.28759765625,0.001,3110.8525390625,73405.7734375,70026.1015625
187,6492.439453125,0.001,3120.4306640625,75124.9453125,71758.71875
188,6528.47998046875,0.001,3164.284912109375,74015.09375,70652.4140625
189,6736.64892578125,0.001,3379.880859375,72851.4765625,69501.75
190,6621.34619140625,0.001,3274.02197265625,73017.078125,69674.5078125
191,6505.71630859375,0.001,3168.76806640625,74592.90625,71260.4765625
192,6055.2314453125,0.001,2727.343017578125,71984.6015625,68661.65625
193,6441.89990234375,0.001,3124.99365234375,73870.5703125,70558.171875
194,6394.30859375,0.001,3085.59814453125,70423.671875,67119.6015625
195,6544.90380859375,0.001,3244.685302734375,72925.1640625,69628.09375
196,6357.9404296875,0.001,3065.810302734375,71230.7578125,67944.40625
197,6177.236328125,0.001,2902.633056640625,75313.3828125,72047.4921875
198,6044.728515625,0.001,2789.148681640625,71126.828125,67880.3984375
199,6177.23681640625,0.001,2936.590576171875,70294.5390625,67060.2265625
