epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
85,13370.4560546875,0.001,10086.494140625,44233.19140625,40944.578125
86,13116.4013671875,0.001,9827.7431640625,49583.6953125,46290.88671875
87,13129.076171875,0.001,9828.6748046875,42971.0546875,39665.5546875
88,13269.2060546875,0.001,9956.474609375,45757.953125,42437.484375
89,12655.87109375,0.001,9332.48828125,45777.4453125,42452.0
90,12550.763671875,0.001,9221.1279296875,46037.18359375,42702.0859375
91,12794.787109375,0.001,9453.875,43427.24609375,40077.68359375
92,12237.0546875,0.001,8883.6396484375,43543.35546875,40186.75390625
93,12606.2890625,0.001,9245.2978515625,43532.46875,40166.5234375
94,12788.4775390625,0.001,9415.1884765625,47911.828125,44524.87109375
95,11501.1953125,0.001,8111.240234375,45616.62109375,42225.9296875
96,11749.9990234375,0.001,8360.6015625,52150.046875,48756.55859375
97,12099.212890625,0.001,8697.0439453125,45235.484375,41829.1171875
98,11351.3896484375,0.001,7943.19482421875,45068.2265625,41658.33984375
99,11360.4453125,0.001,7948.17041015625,45365.31640625,41952.66015625
100,11206.3671875,0.001,7790.65478515625,47188.80859375,43769.0390625
101,11425.20703125,0.001,8005.2607421875,46923.5234375,43504.28125
102,11445.849609375,0.001,8026.6337890625,46536.32421875,43110.828125
103,10489.1376953125,0.001,7062.458984375,46710.55078125,43283.62109375
104,11563.6953125,0.001,8136.544921875,45607.48828125,42174.05078125
105,10911.4052734375,0.001,7472.3017578125,45075.85546875,41636.0234375
106,10908.20703125,0.001,7466.08935546875,44669.32421875,41225.55859375
107,9888.423828125,0.001,6449.2412109375,47799.33984375,44365.30078125
108,10383.0263671875,0.001,6951.0625,54132.90625,50701.28125
109,10682.4501953125,0.001,7247.38818359375,45929.17578125,42495.10546875
110,9745.00390625,0.001,6314.54736328125,45249.51171875,41820.91015625
111,10498.62109375,0.001,7064.58935546875,47933.57421875,44495.14453125
112,9815.33984375,0.001,6380.8349609375,47159.01953125,43725.48828125
113,10517.4287109375,0.001,7081.888671875,46556.30859375,43117.12890625
114,11560.6796875,0.001,8110.689453125,46678.6484375,43214.1953125
115,10235.53515625,0.001,6763.181640625,47498.7890625,44026.76171875
116,10428.017578125,0.001,6950.3994140625,44804.69921875,41321.66015625
117,9854.30078125,0.001,6374.044921875,44687.265625,41206.80859375
118,9218.3134765625,0.001,5742.4599609375,46808.609375,43336.5234375
119,9316.4423828125,0.001,5848.88818359375,45656.578125,42193.8046875
120,9469.2783203125,0.001,6009.41748046875,44264.16015625,40805.125
121,9157.5908203125,0.001,5703.67626953125,45089.0,41636.2109375
122,9199.3310546875,0.001,5751.0107421875,44886.7890625,41439.015625
123,9487.6572265625,0.001,6037.16064453125,46911.94140625,43460.828125
124,9050.5947265625,0.001,5603.142578125,47264.5390625,43818.31640625
125,8957.841796875,0.001,5513.404296875,47375.96484375,43929.92578125
126,9458.53515625,0.001,6007.21728515625,47194.3203125,43736.87890625
127,8867.1259765625,0.001,5413.40625,44761.73046875,41312.2890625
128,9757.0361328125,0.001,6300.17822265625,46054.19140625,42592.859375
129,8622.38671875,0.001,5162.53955078125,46859.01953125,43400.671875
130,8821.900390625,0.001,5370.34619140625,47787.9609375,44340.9140625
131,8692.380859375,0.001,5246.42138671875,48560.16015625,45119.0859375
132,8957.6591796875,0.001,5522.13671875,46819.32421875,43384.0
133,9215.439453125,0.001,5779.41259765625,48989.171875,45548.34375
134,9217.9052734375,0.001,5771.888671875,49178.3203125,45725.5546875
135,8166.052734375,0.001,4718.294921875,46771.21484375,43332.76171875
136,8124.7529296875,0.001,4694.36083984375,46648.69140625,43224.14453125
137,8416.509765625,0.001,4995.3388671875,46529.9609375,43110.58984375
138,7851.0751953125,0.001,4435.9833984375,46093.046875,42684.55078125
139,8934.615234375,0.001,5525.07958984375,46224.76171875,42814.73828125
140,8248.6474609375,0.001,4841.13623046875,47655.87890625,44253.03125
141,8142.1298828125,0.001,4744.33642578125,50463.71875,47067.40625
142,8068.8505859375,0.001,4677.20166015625,47406.44921875,44021.3359375
143,8413.0322265625,0.001,5031.25830078125,49853.71484375,46475.35546875
144,7892.26806640625,0.001,4517.296875,47438.00390625,44066.390625
145,7999.67919921875,0.001,4632.38671875,46984.50390625,43617.26953125
146,8110.31201171875,0.001,4744.28173828125,46695.3203125,43330.515625
147,7752.80810546875,0.001,4396.8115234375,45859.50390625,42513.23046875
148,7905.3369140625,0.001,4560.3095703125,45883.30078125,42536.640625
149,7996.16796875,0.001,4649.34765625,50777.7890625,47433.4453125
150,7894.50146484375,0.001,4551.40478515625,49773.7109375,46434.23046875
151,7691.58642578125,0.001,4356.810546875,50245.44921875,46916.11328125
152,8099.6806640625,0.001,4771.958984375,48571.87109375,45247.78515625
153,7709.962890625,0.001,4392.72021484375,49679.015625,46365.109375
154,7927.5673828125,0.001,4614.013671875,47449.2890625,44132.88671875
155,7660.2451171875,0.001,4340.50439453125,46956.234375,43637.98046875
156,7663.25732421875,0.001,4348.8115234375,48290.18359375,44978.73828125
157,7796.5068359375,0.001,4487.583984375,48981.64453125,45672.0390625
158,7406.6044921875,0.001,4099.986328125,46837.3515625,43532.8515625
159,7412.7880859375,0.001,4112.99267578125,49814.80078125,46520.3359375
160,7625.00439453125,0.001,4331.2939453125,47527.03515625,44235.5703125
161,7670.55126953125,0.001,4377.474609375,47140.4765625,43848.19921875
162,7056.927734375,0.001,3772.3896484375,47049.140625,43772.73046875
163,6930.3662109375,0.001,3660.273681640625,47021.3203125,43757.8515625
164,7700.68115234375,0.001,4434.58154296875,49412.56640625,46144.1796875
165,7219.20263671875,0.001,3956.27783203125,46747.4453125,43486.8515625
166,7691.01611328125,0.001,4423.84423828125,46510.14453125,43241.51953125
167,7851.99560546875,0.001,4575.37451171875,48961.14453125,45678.21875
168,7202.30078125,0.001,3921.147216796875,47055.66015625,43780.6796875
169,6887.677734375,0.001,3621.364990234375,48543.515625,45284.9140625
170,6682.337890625,0.001,3430.556884765625,48979.69921875,45736.10546875
171,7060.64990234375,0.001,3825.284912109375,53220.11328125,49992.44140625
172,7302.8505859375,0.001,4075.962158203125,47960.14453125,44734.24609375
173,6974.33935546875,0.001,3754.84033203125,48595.34375,45378.890625
174,7117.345703125,0.001,3903.343017578125,48720.66015625,45507.89453125
175,6671.9267578125,0.001,3466.014404296875,50884.64453125,47687.671875
176,6472.42578125,0.001,3282.988037109375,52395.390625,49213.88671875
177,6708.7763671875,0.001,3534.4248046875,50367.3359375,47200.44921875
178,6462.3349609375,0.001,3302.695556640625,47813.10546875,44658.75
179,6624.18017578125,0.001,3472.46875,48798.32421875,45646.03515625
180,6825.19873046875,0.001,3676.042724609375,47284.4765625,44135.4296875
181,6882.7744140625,0.001,3738.503173828125,45465.0703125,42324.30078125
182,6756.5498046875,0.001,3614.9248046875,48231.109375,45093.34375
183,6907.90234375,0.001,3775.861328125,47570.24609375,44436.66015625
184,6337.24169921875,0.001,3212.65869140625,45636.328125,42520.328125
185,6704.17431640625,0.001,3594.035888671875,47466.33984375,44357.37109375
186,6406.986328125,0.001,3303.2548828125,46745.76953125,43645.87890625
187,6721.23876953125,0.001,3622.775634765625,46743.046875,43647.96875
188,6303.34375,0.001,3215.750732421875,47184.49609375,44102.4609375
189,6178.26806640625,0.001,3107.347900390625,49395.5,46335.546875
190,6437.67822265625,0.001,3382.139404296875,45971.48046875,42925.0
191,6454.138671875,0.001,3409.811279296875,45836.6484375,42791.734375
192,6908.67822265625,0.001,3864.058349609375,45719.17578125,42671.609375
193,6631.48291015625,0.001,3584.09814453125,48065.875,45014.94140625
194,6532.54638671875,0.001,3474.834716796875,48219.5546875,45159.12109375
195,6284.2568359375,0.001,3227.518798828125,47907.9140625,44855.15625
196,6275.4638671875,0.001,3229.40771484375,47724.15625,44683.05078125
197,6181.7451171875,0.001,3149.05322265625,48090.890625,45066.55078125
198,6152.32177734375,0.001,3132.81591796875,48627.37890625,45617.203125
199,6765.43115234375,0.001,3760.9169921875,46991.359375,43983.9609375
